State/Territory,Name,Handle,Platform,Followers,Location,Breed,Engagement Rate (%),Verified,Profile URL,Bio,Source URL
Alabama,Brittani Monique,@finedogmuvaa,Instagram,77000,"Birmingham, AL",N/A (Dog Mom),17.75,No,N/A,"29-year-old dog mom, teacher, and grad student who manages @bigdaddy_nem",https://influence.co/go/location-search/top-us-influencers/alabama/birmingham
Alaska,Hammy and Brody,@hammyandbrody_ak,Instagram,28000,"Anchorage, AK",Unknown,6.9,No,N/A,Party dogs of instagram who market dog and human products,https://collabstr.com/top-influencers/in/united-states/alaska/anchorage
Arizona,Beebo,@beebo_thecorgi,Instagram,120000,"Phoenix, AZ",Corgi,4.7,No,N/A,Smiling corgi who goes on random adventures around Phoenix,https://urbanmatter.com/phoenix/4-pet-influencers-from-phoenix-you-need-to-follow/
California,Jiffpom,@jiffpom,Instagram,9800000,"Los Angeles, CA",Pomeranian,3.5,Yes,https://www.instagram.com/jiffpom/,"Most-followed dog on Instagram, featured in Katy Perry music video",https://influencers.feedspot.com/dog_instagram_influencers/
California,Popeye the Foodie Dog,@popeyethefoodie,Instagram,364000,"Los Angeles, CA",Mixed (Shih Tzu/Poodle/Pomeranian/Maltese/Chihuahua/Rat Terrier),4.2,No,https://www.instagram.com/popeyethefoodie/,"Former stray LA pup, currently retired but still loves to travel and dine at pet-friendly restaurants",https://www.womansday.com/life/pet-care/a56752/rescue-dog-restaurants/
California,Bailey,@real_puplife_with_bailey,Instagram,21000,Southern California,Unknown,5.5,No,N/A,SoCal Dog Influencer,https://www.instagram.com/real_puplife_with_bailey/
Colorado,Loki,@loki,Instagram,2000000,"Denver, CO",Wolf-Husky Mix,5.2,Yes,https://www.instagram.com/loki/,Kelly Lund quit his Denver job when Loki's Instagram garnered endorsement deals from REI and Mercedes-Benz,https://5280.com/at-home-with-4-local-animal-instagram-stars/
Colorado,Henry the Colorado Dog,@henrythecoloradodog,Instagram,2000000,"Denver, CO",Wolf-Husky Mix,4.9,Yes,https://www.instagram.com/henrythecoloradodog/,Colorado-based adventure dog,https://www.westword.com/arts/denver-dog-guide-instagram-pet-friendly-places-24598799
District of Columbia,Sebastian and Luna,@sebastianandluna_dc,Instagram,72000,"Washington, DC",Unknown,5.6,No,N/A,Most famous celeb-pups in DC,https://dailybarker.com/we-the-dogs-influencers-for-good/
District of Columbia,Hamilton & Olivia,@hammyandolivia,Instagram,58000,"Washington, DC",Unknown,7.4,No,N/A,"Fastest-growing Animals & Pets creator in Washington, D.C.",https://infludata.com/rankings/top-20-influencer-united-states-of-america-washington-dc-animals-instagram
Florida,Luna,@luna_giantschnauzer,Instagram,95000,South Florida,Giant Schnauzer,4.5,No,N/A,Giant Schnauzer with large following,https://influencers.feedspot.com/florida_dog_instagram_influencers/
Hawaii,PAWS of Hawaii,@pawsofhawaii,Instagram,19000,"Oahu, HI",N/A (Rescue Organization),5.7,No,N/A,Dog rescue organization in Oahu,https://www.instagram.com/pawsofhawaii/
Idaho,Hammy and Brody,@hammyandbrody,Instagram,32000,"Idaho Falls, ID",Unknown,7.1,No,N/A,Party dogs of instagram - Two human loving pups who love to spread happiness,https://collabstr.com/top-influencers/in/idaho-falls-id-united-states
Illinois,Manny the Frenchie,@manny_the_frenchie,Instagram,991000,"Chicago, IL",French Bulldog,3.2,Yes,https://www.instagram.com/manny_the_frenchie/,"World's Most Followed Bulldog, author of Manny the Frenchie's Art of Happiness",https://influencers.feedspot.com/chicago_dog_instagram_influencers/
Illinois,Sammy,@sammy_in_the_city_,Instagram,181200,"Chicago, IL",Teacup Yorkie,4.1,No,N/A,Teacup Yorkie living in Chicago,https://influencers.feedspot.com/chicago_dog_instagram_influencers/
Indiana,Dognameddax,@dognameddax,Instagram,48000,Indiana,Australian Shepherd,5.9,No,N/A,Blue merle Australian Shepherd showcasing lifestyle content,https://influence.co/category/dogs
Kansas,Athena & Ares,@athenanares,Instagram,37000,"Kansas City, KS",Huskies,9.6,No,N/A,Just a dog mom & my huskies sharing our Kansas City livin'!,https://www.instagram.com/athenanares/
