State/Territory,Rank,Dog Name,Handle,Platform,Followers,Engagement Rate (%),Verified,URL,Bio
Alabama,1,Cooper the Alabama Dog,@cooper_a_instagram,Instagram,1417957,6.06,No,https://instagram.com/cooper_a,Famous dog influencer from Alabama | Instagram Star
Alabama,2,Bella the Alabama Dog,@bella_a_youtube,YouTube,1165880,3.21,Yes,https://youtube.com/bella_a,Famous dog influencer from Alabama | YouTube Star
Alabama,3,Chloe the Alabama Dog,@chloe_a_instagram,Instagram,50000,3.72,Yes,https://instagram.com/chloe_a,Famous dog influencer from Alabama | Instagram Star
Alabama,4,Winston the Alabama Dog,@winston_a_instagram,Instagram,50000,6.19,Yes,https://instagram.com/winston_a,Famous dog influencer from Alabama | Instagram Star
Alabama,5,Leo the Alabama Dog,@leo_a_youtube,YouTube,50000,3.65,No,https://youtube.com/leo_a,Famous dog influencer from Alabama | YouTube Star
Alaska,1,Bailey the Alaska Dog,@bailey_a_tiktok,TikTok,1649795,4.11,No,https://tiktok.com/bailey_a,Famous dog influencer from Alaska | TikTok Star
Alaska,2,Milo the Alaska Dog,@milo_a_youtube,YouTube,938469,8.4,No,https://youtube.com/milo_a,Famous dog influencer from Alaska | YouTube Star
Alaska,3,Winston the Alaska Dog,@winston_a_tiktok,TikTok,746018,6.42,No,https://tiktok.com/winston_a,Famous dog influencer from Alaska | TikTok Star
Alaska,4,Leo the Alaska Dog,@leo_a_youtube,YouTube,327363,3.65,Yes,https://youtube.com/leo_a,Famous dog influencer from Alaska | YouTube Star
Alaska,5,Duke the Alaska Dog,@duke_a_youtube,YouTube,50000,8.18,Yes,https://youtube.com/duke_a,Famous dog influencer from Alaska | YouTube Star
American Samoa,1,Sadie the American Dog,@sadie_as_tiktok,TikTok,1850403,8.14,No,https://tiktok.com/sadie_as,Famous dog influencer from American Samoa | TikTok Star
American Samoa,2,Chloe the American Dog,@chloe_as_youtube,YouTube,1208697,6.2,Yes,https://youtube.com/chloe_as,Famous dog influencer from American Samoa | YouTube Star
American Samoa,3,Max the American Dog,@max_as_tiktok,TikTok,938754,5.1,Yes,https://tiktok.com/max_as,Famous dog influencer from American Samoa | TikTok Star
American Samoa,4,Bentley the American Dog,@bentley_as_youtube,YouTube,451723,6.28,No,https://youtube.com/bentley_as,Famous dog influencer from American Samoa | YouTube Star
